,Life expectancy at birth (years),"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",Hospital beds (per 10 000 population),Human development index rank,Gross national income per capita (Atlas method),ICT Development Index (IDI),Nutrition Governance score,Cheapest brand of cigarettes - price in US$ at official exchange rates,Population below the international poverty line (%),Average price 500 mls Beer in US$,Population practising open defecation (%),Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)
Portugal,84.39763,4.83714,34.5,43.0,21830.0,6.06909,1.07239,4.86,1.0,1.96,0.0,11.14
Japan,83.61682,2.89319,129.8,10.0,42050.0,7.81823,1.34104,4.02,0.0,4.07,0.0,10.82
Australia,83.04064,4.9208,38.4,2.0,46200.0,7.544,1.57533,17.55,1.0,5.1,0.0,10.54
Switzerland,82.61449,5.1958,46.3,9.0,71590.0,7.61504,1.78704,6.06,0.0,5.28,0.0,11.8
Iceland,82.32826,3.69603,28.3,13.0,33890.0,8.35565,1.54532,8.01,0.0,4.05,0.0,9.73
Luxembourg,82.30824,5.44147,42.6,19.0,76820.0,7.93434,1.72906,5.09,0.0,2.73,0.0,5.67
Norway,82.00599,3.09035,35.3,1.0,86390.0,7.97096,1.76457,10.82,0.0,8.1,0.0,9.92
Malta,81.89443,2.53576,44.851,37.0,18620.0,7.24566,1.05949,5.57,0.0,2.03,0.0,10.58
Sweden,81.74503,14.41696,21.4,14.0,50580.0,8.40727,1.69855,6.57,0.0,5.79,0.0,11.25
Finland,81.6124,4.88897,36.1,24.0,47460.0,7.98593,1.76113,9.12,0.0,4.91,0.0,10.25
Canada,81.3058,4.33655,25.2,9.0,43250.0,7.38094,1.58963,7.15,1.0,3.47,0.0,12.33
Ireland,81.1396,5.57809,29.7,7.0,41720.0,7.10034,1.39611,13.15,0.0,4.41,0.0,6.72
Costa Rica,80.84692,5.61794,11.0,62.0,6860.0,4.47114,0.58652,2.56,1.0,1.1,0.33816,7.57
Netherlands (Kingdom of the),80.68311,4.22639,31.7,4.0,48920.0,8.00073,1.69314,7.7,0.0,1.96,0.0,11.29
Denmark,80.59389,4.71538,26.0,4.0,59410.0,8.35015,1.68345,6.37,0.0,5.44,0.0,10.82
Germany,80.16794,5.45153,80.0,6.0,42970.0,7.32887,1.49553,6.52,0.0,2.65,0.0,12.93
Greece,80.09935,4.13328,42.0,29.0,26890.0,6.20991,0.27836,4.38,1.0,3.02,0.09912,9.17
Belgium,79.84602,4.65149,55.8,17.0,45780.0,7.162,1.18223,6.87,0.0,1.47,0.0,11.04
Chile,79.81646,3.08514,20.6,42.0,10750.0,5.4568,1.00588,1.33,8.0,1.63,0.0,9.34
Slovenia,79.5501,4.96777,44.3,25.0,23910.0,6.75544,0.94189,3.67,0.0,1.96,0.0,9.48
Italy,79.36485,3.72126,31.4,27.0,35530.0,6.43097,0.48741,5.09,1.0,4.56,0.0,9.38
France,78.91328,5.32766,59.1,22.0,42190.0,7.26273,1.11652,10.6,0.0,5.39,0.0,12.31
Cyprus,78.74654,3.4347,33.996,31.0,29450.0,5.70707,0.81884,4.5,0.0,2.49,0.0,9.43
Croatia,78.63747,4.82003,55.397,47.0,13890.0,6.14029,0.43859,3.29,1.0,1.85,0.0,8.1
Israel,78.57471,1.2607,29.8,16.0,27270.0,6.70163,0.65912,8.51,0.0,6.42,0.0,7.9
Poland,78.26672,5.15442,65.4,36.0,12450.0,6.3148,0.64712,3.5,0.0,1.47,0.0,6.44
Estonia,77.60223,24.66382,45.7,30.0,14180.0,7.27655,1.21909,4.44,0.0,1.96,0.0,7.49
China,77.43322,2.99265,43.1,90.0,4240.0,3.86257,-0.30686,0.43,1.0,1.19,1.1834,5.38
Peru,77.28428,2.85116,15.91457,77.0,4900.0,3.68326,-0.13486,3.13,3.0,1.02,16.97182,6.15
Panama,77.23182,2.64539,22.54021,60.0,7010.0,4.60879,0.10226,1.73,2.0,0.52,4.02738,9.68
Uruguay,77.0994,2.89623,24.25404,51.0,10290.0,5.76275,0.8635,3.66,0.0,1.5,0.15871,9.36
Colombia,77.09467,8.06018,17.1,97.0,5520.0,4.20261,-0.18146,0.59,10.0,0.69,0.67115,9.02
Maldives,76.99346,0.26131,43.0,104.0,6150.0,4.31203,-0.49658,6.49,0.0,2.9,0.0,10.03
Iran (Islamic Republic of),76.66063,0.24478,15.6,69.0,4520.0,3.60893,-1.00063,1.19,3.0,5.11,0.0,5.77
Jordan,76.58584,0.12047,14.7,80.0,4140.0,3.90086,-0.08361,2.25,3.0,4.07,0.07804,7.29
Lebanon,76.43958,0.40683,27.3,72.0,8750.0,4.61968,-0.8332,1.66,0.0,2.0,0.11833,10.06
Thailand,76.25385,13.47869,21.0,103.0,4150.0,3.41553,-0.27543,1.76,0.0,1.62,0.58912,5.16
Serbia,75.87003,12.84503,56.086,64.0,5630.0,5.37564,-0.05221,2.23,6.0,0.98,0.04787,10.01
Jamaica,75.7666,1.35826,17.17473,99.0,4700.0,3.54177,0.24646,5.72,3.0,1.75,0.82694,7.19
Slovakia,75.46777,16.73585,57.0,35.0,16030.0,5.84774,0.67315,3.79,0.0,0.95,0.0,7.75
Argentina,75.43737,3.71312,49.92,40.0,8620.0,5.06213,0.00745,0.41,1.0,1.16,0.0,9.71
Bosnia and Herzegovina,75.41919,1.7509,34.933,85.0,4740.0,4.7077,-0.37765,2.94,0.0,0.98,0.0,9.56
Latvia,75.37604,4.16652,54.9,46.0,11850.0,6.36382,0.7923,3.85,1.0,2.31,0.0,9.04
Uzbekistan,75.21384,0.70613,39.784,114.0,1300.0,3.11608,-0.94862,0.59,62.0,1.02,0.0,7.74
Mexico,75.1333,2.06773,9.8,74.0,8930.0,3.78015,-0.35289,2.5,4.0,1.09,0.0,6.08
Brazil,75.13264,3.27229,20.87131,85.0,9540.0,4.58905,-0.23775,0.96,3.0,1.3,0.0,9.89
Bulgaria,75.07156,4.47534,74.54,57.0,6320.0,5.49776,0.23506,3.03,1.0,0.98,0.0,8.56
Czechia,74.95213,5.8123,66.2,28.0,18490.0,6.30128,0.95126,4.3,0.0,0.86,0.0,9.49
United Arab Emirates,74.86285,0.4113,13.8,41.0,39640.0,6.41393,0.65914,2.31,0.0,6.1,0.0,5.31
Paraguay,74.79564,2.37061,8.28067,112.0,2730.0,3.09539,-0.34926,0.31,2.0,0.71,0.88856,8.03
Venezuela (Bolivarian Republic of),74.78663,1.159,8.71281,71.0,11660.0,4.0037,-1.74665,0.54,23.0,0.91,2.99764,4.04
Malaysia,74.718,0.205,18.76841,62.0,7760.0,4.80669,0.47481,2.83,0.0,3.58,0.0,4.38
Ecuador,74.53304,1.77147,13.92792,89.0,3850.0,3.73129,-0.39865,5.1,6.0,0.73,0.64597,8.29
